,Name,Quantity,Date,Cost,Order ID,Merchant_ID
180,Large Fry,1.0,2018-03-29T18:22:20Z,595,sqI3es9GADSFYhRFwwm9QvMF,E5PYWY39PNHTN
181,Eggs,1.0,2018-03-29T18:22:20Z,100,sqI3es9GADSFYhRFwwm9QvMF,E5PYWY39PNHTN
182,Theta Burger,1.0,2018-03-29T18:35:52Z,749,RTebEZKFyDvJSxdHAVU38uMF,E5PYWY39PNHTN
183,Coca Cola,2.0,2018-03-29T18:37:26Z,200,Gkmy9va8ID3vhNwWy6A1FzMF,E5PYWY39PNHTN
184,Caesar Burger,1.0,2018-03-29T22:03:15Z,695,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
185,Small Fry,1.0,2018-03-29T22:03:15Z,445,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
186,19 W Cheeseburger,1.0,2018-03-29T22:03:15Z,745,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
187,Oinking Cow,1.0,2018-03-29T22:03:15Z,995,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
188,Large Fry,1.0,2018-03-29T22:03:15Z,595,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
189,Ginger Ale,1.0,2018-03-29T22:03:15Z,200,NhGuxe6p5bXydXdgQVn3JQB,E5PYWY39PNHTN
190,19 W Burger,1.0,2018-03-29T22:25:01Z,645,hJLJ5S0LYunSQlyQSvKGLQB,E5PYWY39PNHTN
191,Small Fry,1.0,2018-03-29T22:25:01Z,445,hJLJ5S0LYunSQlyQSvKGLQB,E5PYWY39PNHTN
192,Oinking Cow,1.0,2018-03-29T23:08:17Z,995,VLkzFhnjZMmfi82glo4TdwMF,E5PYWY39PNHTN
193,Large Fry,1.0,2018-03-29T23:08:17Z,595,VLkzFhnjZMmfi82glo4TdwMF,E5PYWY39PNHTN
194,19 W Cheeseburger,1.0,2018-03-29T23:11:23Z,745,7l9lopVXgtnWBQyNruR5uyMF,E5PYWY39PNHTN
195,Small Fry,1.0,2018-03-29T23:11:23Z,445,7l9lopVXgtnWBQyNruR5uyMF,E5PYWY39PNHTN
196,19 W Burger,1.0,2018-03-29T23:57:03Z,645,3mLSCMuwSW3o41ifdvJHnuMF,E5PYWY39PNHTN
197,Large Fry,1.0,2018-03-29T23:57:03Z,595,3mLSCMuwSW3o41ifdvJHnuMF,E5PYWY39PNHTN
198,Oinking Cow,2.0,2018-03-29T23:57:03Z,995,3mLSCMuwSW3o41ifdvJHnuMF,E5PYWY39PNHTN
199,Oinking Cow,1.0,2018-03-30T00:07:06Z,995,bkomGX3hk9uHbxghkZN8KQB,E5PYWY39PNHTN
200,Large Fry,1.0,2018-03-30T00:07:06Z,595,bkomGX3hk9uHbxghkZN8KQB,E5PYWY39PNHTN
201,Gobbler,1.0,2018-03-30T00:39:07Z,1045,RAW6x693wN36XTYNrIdSmvMF,E5PYWY39PNHTN
202,19 W Cheeseburger,1.0,2018-03-30T15:47:52Z,745,1cDa56c5WphNQqtbbbSMWwMF,E5PYWY39PNHTN
203,Small Fry,1.0,2018-03-30T15:47:52Z,445,1cDa56c5WphNQqtbbbSMWwMF,E5PYWY39PNHTN
204,Sprite,1.0,2018-03-30T15:47:52Z,200,1cDa56c5WphNQqtbbbSMWwMF,E5PYWY39PNHTN
205,19 W Cheeseburger,1.0,2018-03-30T15:48:48Z,745,YM6QcpV49cg2IavmA4vHcvMF,E5PYWY39PNHTN
206,Coca Cola,1.0,2018-03-30T15:48:48Z,200,YM6QcpV49cg2IavmA4vHcvMF,E5PYWY39PNHTN
207,19 W Cheeseburger,1.0,2018-03-30T15:50:03Z,745,hvd2lu9cdjfbgtzgHO5oTvMF,E5PYWY39PNHTN
208,Diet Coke,1.0,2018-03-30T15:50:03Z,200,hvd2lu9cdjfbgtzgHO5oTvMF,E5PYWY39PNHTN
209,Small Fry,1.0,2018-03-30T15:50:03Z,445,hvd2lu9cdjfbgtzgHO5oTvMF,E5PYWY39PNHTN
210,Caesar Burger,1.0,2018-03-30T15:51:27Z,695,TifxYYl0sbfRP8JDmOSULQB,E5PYWY39PNHTN
211,19 W Cheeseburger,1.0,2018-03-30T15:52:32Z,745,vCjpUr1ctg3Ucj0HsyXGFtMF,E5PYWY39PNHTN
212,Large Fry,1.0,2018-03-30T15:52:32Z,595,vCjpUr1ctg3Ucj0HsyXGFtMF,E5PYWY39PNHTN
213,Dr. Pepper,1.0,2018-03-30T15:52:32Z,200,vCjpUr1ctg3Ucj0HsyXGFtMF,E5PYWY39PNHTN
214,Shroomer,1.0,2018-03-30T15:53:24Z,995,wKDIIBsfzhGpnP39zK3GHtMF,E5PYWY39PNHTN
215,Dr. Pepper,1.0,2018-03-30T15:53:24Z,200,wKDIIBsfzhGpnP39zK3GHtMF,E5PYWY39PNHTN
216,Small Fry,1.0,2018-03-30T16:05:33Z,445,CPgnemggLurHCYbqJdU7htMF,E5PYWY39PNHTN
217,19 W Cheeseburger,1.0,2018-03-30T16:05:33Z,745,CPgnemggLurHCYbqJdU7htMF,E5PYWY39PNHTN
218,Dr. Pepper,1.0,2018-03-30T16:05:33Z,200,CPgnemggLurHCYbqJdU7htMF,E5PYWY39PNHTN
219,19 W Cheeseburger,1.0,2018-03-30T16:11:30Z,745,xyAv7lyIt0aWhKDfy3kQKyMF,E5PYWY39PNHTN
220,Large Fry,1.0,2018-03-30T16:11:30Z,595,xyAv7lyIt0aWhKDfy3kQKyMF,E5PYWY39PNHTN
221,Dr. Pepper,1.0,2018-03-30T16:11:30Z,200,xyAv7lyIt0aWhKDfy3kQKyMF,E5PYWY39PNHTN
